TFRC	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
WAS	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR2A	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
CD19	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
PTGS2	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
SPTA1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
ICOS	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
MS4A1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
NRAS	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
SPTB	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR2B	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
MS4A1	Autoimmune hemolytic anemia	
CTLA4	Autoimmune hemolytic anemia	
IL2RA	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
NFKB2	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
NFKB1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR2C	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
WIPF1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
IGHV2-5	Autoimmune hemolytic anemia	
ICAM1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
CD3G	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR3A	Autoimmune hemolytic anemia	
CD3G	Autoimmune hemolytic anemia	
IGHV2-5	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR3B	Autoimmune hemolytic anemia	
Rituximab	C1S	1	
FCGR1A	IGKV4-1	0.8622716890165686	
FCGR3A	V3-4	0.8631759289499149	
GRB2	TEC	0.8531802811033484	
GRB2	IGKV3-11	0.8629120120439986	
FCGR3A	ELMO2	0.7983096722548423	
FCGR1A	VAV1	0.8468891025876341	
Aminosalicylic Acid	PTGS2	1	
FCGR3A	IGLC6	0.8631759289499149	
Alemtuzumab	CD52	1	
GRB2	TYROBP	0.8560021777996374	
FCGR1A	V5-1	0.8622716890165686	
GRB2	CALM3	0.8670770245481983	
GRB2	TF	0.8628338709774962	
GRB2	HIP1R	0.8628338709774962	
GRB2	FGF20	0.870916943933636	
GRB2	V4-2	0.8611234767592315	
FCGR2A	IGKV1-17	0.8622716890165686	
GRB2	VAV3	0.8669912245151454	
GRB2	RAC1	0.8616414586114868	
FCGR3A	IGHV4-39	0.8631759289499149	
GRB2	TRIP10	0.863443159858049	
GRB2	KL	0.8696599665890253	
GRB2	IGHV	0.8629120120439986	
FCGR1A	IGHV7-81	0.8622716890165686	
GRB2	PTPRA	0.8677596750953283	
GRB2	P80362	0.8629120120439986	
GRB2	IGKV2-28	0.8629120120439986	
FCGR1A	IGLV1-47	0.8622716890165686	
FCGR2A	IGLV1-40	0.8622716890165686	
GRB2	FGF23	0.870916943933636	
FCGR1A	IGLV1-44	0.8622716890165686	
FCGR3A	IGHV3-7	0.8631759289499149	
GRB2	GRIN2B	0.8670770245481983	
FCGR2A	IGKV2D-40	0.8622716890165686	
FCGR2A	P0CG06	0.8622716890165686	
GRB2	IGHV7-81	0.8629120120439986	
Natalizumab	FCGR2C	1	
FCGR2A	IGHG4	0.8614909610942352	
Rituximab	FCGR1A	1	
CHUK	NFKB1	0.8625083199902923	
CHUK	RIPK1	0.851577718501957	
GDNF	rs2973049	0.8592201065437631	
GRB2	CSF2	0.8682783240170482	
C1R	C1QB	0.8396144291374222	
GRB2	IGLV3-27	0.8629120120439986	
GRB2	CD28	0.8628925940801011	
GRB2	FCHO2	0.8541713484689148	
GRB2	FGFR1	0.8699581403276919	
GRB2	FGF1	0.870916943933636	
CHUK	UBE2V1	0.8470141168187869	
FCGR2A	CD247	0.8580060915991022	
GRB2	FGF22	0.8703450573460727	
FCGR1A	V3-4	0.8622716890165686	
GRB2	FNBP1L	0.863443159858049	
FCGR1A	IGLV3-25	0.8622716890165686	
CHUK	TNIP2	0.849809014912932	
FCGR1A	IGKC	0.8622716890165686	
FCGR3A	IGKV3-15	0.8631759289499149	
GRB2	CBL	0.8697101424924512	
GRB2	IGLV3-21	0.8629120120439986	
FCGR2A	V3-2	0.8622716890165686	
GRB2	UBC	0.8676441000255456	
GRB2	CAMK2A	0.8670770245481983	
GRB2	VAV2	0.8669912245151454	
GRB2	GFRA4	0.8678990975189527	
FCGR1A	IGHV4-59	0.8622716890165686	
FCGR2A	IGLC7	0.8622716890165686	
GRB2	ARPC1A	0.8653101410641578	
GRB2	ACTN2	0.8670770245481983	
GRB2	LYN	0.8640413717509758	
GRB2	V2-15	0.8611234767592315	
GRB2	FGF8	0.870916943933636	
FCGR2B	uniprotkb:P01857	0.837722039234	
GRB2	RASGRP3	0.8668700373095783	
GRB2	IGLV	0.8629120120439986	
GRB2	IGKV3-15	0.8629120120439986	
GRB2	ARRB1	0.863443159858049	
GRB2	V1-16	0.8611234767592315	
GRB2	FYN	0.8701953004617193	
Natalizumab	ICAM1	1	
Natalizumab	FCGR3A	1	
GRB2	V1-11	0.8611234767592315	
FCGR3A	IGHV3-48	0.8631759289499149	
GRB2	V1-13	0.8611234767592315	
FCGR3A	IGKV2-28	0.8631759289499149	
FCGR3A	P80362	0.8631759289499149	
GRB2	IGHV4-34	0.8629120120439986	
CHUK	TRAF2	0.8294526363440686	
FCGR1A	IGLV7-43	0.8622716890165686	
FCGR1A	IGLV3-19	0.8622716890165686	
FCGR3A	V4-6	0.8631759289499149	
FCGR2A	IGKV1-39	0.8622716890165686	
GRB2	IGHE	0.860155337427376	
GRB2	IGKV3D-20	0.8629120120439986	
GRB2	RASGRF2	0.8670770245481983	
FCGR2A	IGHV2-70	0.8622716890165686	
GRB2	V2-8	0.8611234767592315	
GRB2	LCP2	0.8666384090548396	
GRB2	CD3D	0.8628338709774962	
FCGR2A	IGKC	0.8622716890165686	
FCGR2A	IGLV3-25	0.8622716890165686	
GRB2	IGLV2-8	0.8629120120439986	
FCGR1A	IGLV3-21	0.8622716890165686	
FCGR3A	rs396991	0.99	
GRB2	IGLV2-14	0.8629120120439986	
GRB2	IGLV1-51	0.8629120120439986	
FCGR3A	IGHV4-59	0.8631759289499149	
FCGR3A	VAV1	0.8468891025876341	
TP53	rs1042522	0.81831675767688	
FCGR1A	IGLV3-1	0.8622716890165686	
GRB2	LAT	0.8695656333858928	
GRB2	IGLV3-25	0.8629120120439986	
GRB2	IGLV2-23	0.8629120120439986	
GRB2	IGKC	0.8629120120439986	
GRB2	LCK	0.8675717429308879	
FCGR1A	IGKV3-15	0.8622716890165686	
GRB2	FGF5	0.8707443872449111	
GRB2	WIPF2	0.8448687443032323	
Alemtuzumab	FCGR2C	1	
FCGR3A	IGLV1-40	0.8631759289499149	
Rituximab	FCGR2B	1	
FCGR2A	ELMO1	0.7983096722548423	
FCGR3A	IGKV1-16	0.8631759289499149	
FCGR3A	VAV2	0.8468891025876341	
FCGR1A	IGLV6-57	0.8622716890165686	
GRB2	FGF6	0.8707474148614436	
GRB2	VAMP3	0.8628338709774962	
GRB2	STON2	0.8628338709774962	
FCGR3A	IGKV1D-39	0.8631759289499149	
FCGR3A	IGKV1-5	0.8631759289499149	
Alemtuzumab	FCGR3B	1	
GRB2	CAMK2D	0.8670770245481983	
GRB2	CDC37	0.866184793553654	
GRB2	IGKV1-33	0.8629120120439986	
CHUK	REL	0.8086124452583398	
FCGR2A	IGKV1-33	0.8622716890165686	
GRB2	NRTN	0.8678990975189527	
FCGR2A	IGHV3-23	0.8622716890165686	
FCGR3A	V1-5	0.8631759289499149	
FCGR3A	P0CG05	0.8631759289499149	
FCGR3A	IGLV2-11	0.8631759289499149	
FCGR1A	IGKV1D-16	0.8622716890165686	
FCGR2A	CD3G	0.8580060915991022	
GRB2	IGLC7	0.8629120120439986	
FCGR3A	CD3G	0.8595571341704282	
FCGR3A	IGKV3-20	0.8631759289499149	
GRB2	FGF2	0.870916943933636	
GRB2	SYNJ1	0.8613363396709319	
CHUK	NOD2	0.8252219011119977	
FCGR3A	SYK	0.8613101570521862	
FCGR1A	V4-6	0.8622716890165686	
GRB2	RAPGEF1	0.8197146809151086	
FCGR3A	IGLV1-47	0.8631759289499149	
CHUK	IFIH1	0.8294526363440686	
PTGS2	TP53	0.826582583512	
FCGR3A	RAC1	0.852724204446584	
GRB2	SH3KBP1	0.8674197389366323	
GRB2	OCRL	0.8613363396709319	
GRB2	REPS2	0.8629698029978776	
GRB2	CLTCL1	0.8654065929327814	
FCGR3A	V1-3	0.8631759289499149	
PTGS2	rs4648287	0.99	
FCGR3A	IGLV2-23	0.8631759289499149	
CHUK	BCL10	0.8294526363440686	
GRB2	PLCG2	0.8665809450771357	
GRB2	PIK3R2	0.8638245419531639	
GRB2	IGHV3-9	0.8629120120439986	
GRB2	VAMP8	0.8628338709774962	
FCGR2A	V1-5	0.8622716890165686	
FCGR2A	P0CG05	0.8622716890165686	
FCGR1A	IGKV1D-12	0.8622716890165686	
FCGR3A	P0CG06	0.8631759289499149	
GRB2	IGKV2D-28	0.8629120120439986	
CHUK	SKP1	0.8319100629186602	
C1S	C1QB	0.8396144291374222	
GRB2	IL2RG	0.868159876904875	
FCGR3A	IGHG3	0.8614909610942352	
FCGR2A	V5-4	0.8622716890165686	
GRB2	FGF16	0.870663732231329	
FCGR2A	FCGR2A	0.8580060915991022	
GRB2	SNX9	0.863443159858049	
FCGR2A	IGKV1D-12	0.8622716890165686	
GRB2	GRIN1	0.8670770245481983	
GRB2	P0CG05	0.8629120120439986	
FCGR1A	IGKV3D-20	0.8622716890165686	
FCGR3A	V3-3	0.8631759289499149	
GRB2	SHC1	0.8709417820018702	
Rituximab	FCGR3B	1	
PTGS2	rs5275	0.99	
GRB2	BTC	0.869610251788601	
PTGS2	rs20417	0.99	
FCGR1A	FCGR3A	0.8580060915991022	
GRB2	VAMP7	0.8628338709774962	
CHUK	MALT1	0.8294526363440686	
FCGR2A	V4-6	0.8622716890165686	
CHUK	BTRC	0.8319100629186602	
FCGR3A	V1-7	0.8631759289499149	
GRB2	IGKV1-16	0.8629120120439986	
GRB2	PDGFA	0.8688939580810102	
GRB2	PIK3CA	0.8705742784933692	
GRB2	IGLV1-47	0.8629120120439986	
GRB2	IGHV3-30	0.8629120120439986	
FCGR1A	IGHV3-9	0.8622716890165686	
FCGR1A	CD247	0.8588236184081405	
CHUK	MAP3K7	0.8594519690919569	
FCGR2A	V1-13	0.8622716890165686	
GRB2	TEK	0.8676677067435474	
FCGR2A	IGKV	0.8622716890165686	
FCGR3A	V2-15	0.8631759289499149	
GRB2	IGKV1-17	0.8629120120439986	
GRB2	GFRA2	0.8678990975189527	
GRB2	VAMP2	0.8628338709774962	
FCGR2A	V2-19	0.8622716890165686	
FCGR1A	IGKV2D-40	0.8622716890165686	
GRB2	SLC18A3	0.8628338709774962	
