drug1	drug2	DME	TWOSIDES condition name	PRR	PRR error	mean reporting freq	
valsartan	aspirin	myocardial infarction	acute myocardial infarction	5.37037	0.114612	0.012057	
valsartan	aspirin	myocardial infarction	myocardial infarction	2.03822	0.0527207	0.0432387	
valsartan	aspirin	myocardial infarction	silent myocardial infarction	1.25	1.06061	0.000103939	
valsartan	aspirin	pancreatitis	alcoholic pancreatitis	10.0	0.999943	0.000207879	
valsartan	aspirin	pancreatitis	oedematous pancreatitis	4.0	0.836592	0.000207879	
valsartan	aspirin	pancreatitis	pancreatitis	1.80751	0.12337	0.00800333	
valsartan	aspirin	pancreatitis	pancreatitis acute	2.67123	0.179933	0.00405363	
valsartan	aspirin	pancreatitis	pancreatitis chronic	2.38095	0.497498	0.000519697	
valsartan	aspirin	pancreatitis	pancreatitis haemorrhagic	3.33333	1.15465	0.000103939	
valsartan	aspirin	pancreatitis	pancreatitis necrotising	3.0	0.658194	0.000311818	
valsartan	aspirin	pancreatitis	pancreatitis relapsing	4.0	0.836592	0.000207879	
dronabinol	mirtazapine	myocardial infarction	acute myocardial infarction	5.0	1.21771	0.015625	
aspirin	clomipramine	myocardial infarction	myocardial infarction	1.21212	0.522778	0.0254777	
lidocaine	carvedilol	neuropathy	diabetic neuropathy	30.0	1.1533	0.00882353	
lidocaine	carvedilol	neuropathy	neuropathy peripheral	7.5	0.437275	0.0264706	
hydrochlorothiazide	ziprasidone	hypertension	pulmonary hypertension	3.33333	0.663902	0.0100334	
hydrochlorothiazide	ziprasidone	hypertension	hypertension	5.42857	0.278431	0.0635452	
prasugrel	metoclopramide	myocardial infarction	myocardial infarction	30.0	1.1143	0.25	
estradiol	caffeine	myocardial infarction	acute myocardial infarction	10.0	0.99373	0.0227273	
estradiol	caffeine	myocardial infarction	myocardial infarction	1.36364	0.605217	0.0340909	
aspirin	triptorelin	myocardial infarction	myocardial infarction	2.0	0.61701	0.0526316	
caffeine	captopril	myocardial infarction	myocardial infarction	10.0	1.3784	0.0909091	
prasugrel	amitriptyline	myocardial infarction	myocardial infarction	13.3333	0.724871	0.210526	
propranolol	clopidogrel	myocardial infarction	acute myocardial infarction	2.72727	0.649181	0.00765306	
propranolol	clopidogrel	myocardial infarction	myocardial infarction	2.70588	0.228991	0.0586735	
caffeine	celecoxib	myocardial infarction	acute myocardial infarction	2.5	1.11338	0.00943396	
caffeine	celecoxib	myocardial infarction	myocardial infarction	1.92308	0.477582	0.0471698	
aspirin	carvedilol	edema	bone marrow oedema	3.33333	0.816441	0.00016632	
aspirin	carvedilol	edema	lymphoedema	0.681818	0.596631	0.00024948	
aspirin	carvedilol	edema	localised oedema	2.5	0.372555	0.000748441	
aspirin	carvedilol	edema	oedema peripheral	2.53047	0.0588067	0.0293555	
aspirin	carvedilol	edema	acute pulmonary oedema	4.47761	0.21947	0.0024948	
aspirin	carvedilol	edema	pulmonary oedema	4.77011	0.0938413	0.0138046	
aspirin	carvedilol	edema	hereditary angioedema	0.4	1.01976	8.31601e-05	
aspirin	carvedilol	edema	diabetic retinal oedema	30.0	1.15466	0.00024948	
aspirin	carvedilol	edema	eye oedema	0.47619	1.02349	8.31601e-05	
aspirin	carvedilol	edema	corneal oedema	0.769231	1.0377	8.31601e-05	
aspirin	carvedilol	edema	eyelid oedema	1.2	0.273085	0.0012474	
aspirin	carvedilol	edema	periorbital oedema	0.444444	0.722586	0.00016632	
aspirin	carvedilol	edema	macular oedema	1.39535	0.435696	0.00049896	
aspirin	carvedilol	edema	papilloedema	0.25641	1.01269	8.31601e-05	
aspirin	carvedilol	edema	orbital oedema	0.833333	1.04079	8.31601e-05	
aspirin	carvedilol	edema	oedematous pancreatitis	3.33333	1.15466	8.31601e-05	
aspirin	carvedilol	edema	gastrointestinal oedema	2.5	0.790512	0.00016632	
aspirin	carvedilol	edema	oesophageal oedema	10.0	0.816441	0.00024948	
aspirin	carvedilol	edema	lip oedema	0.952381	0.739951	0.00016632	
aspirin	carvedilol	edema	oedema mouth	1.2987	0.335999	0.000831601	
aspirin	carvedilol	edema	tongue oedema	0.344828	1.01705	8.31601e-05	
aspirin	carvedilol	edema	oedema mucosal	2.0	0.774538	0.00016632	
aspirin	carvedilol	edema	allergic oedema	2.5	1.11799	8.31601e-05	
aspirin	carvedilol	edema	face oedema	1.78082	0.212648	0.00216216	
aspirin	carvedilol	edema	generalised oedema	2.33333	0.209657	0.00232848	
aspirin	carvedilol	edema	gravitational oedema	8.0	0.670752	0.00033264	
aspirin	carvedilol	edema	oedema	2.94537	0.101727	0.0103119	
aspirin	carvedilol	edema	pitting oedema	2.22222	0.781677	0.00016632	
aspirin	carvedilol	edema	gallbladder oedema	10.0	1.41418	8.31601e-05	
aspirin	carvedilol	edema	angioedema	1.20275	0.178652	0.0029106	
aspirin	carvedilol	edema	circumoral oedema	6.66667	0.912821	0.00016632	
aspirin	carvedilol	edema	laryngeal oedema	0.819672	0.465083	0.0004158	
aspirin	carvedilol	edema	angioneurotic oedema	0.746269	0.463502	0.0004158	
aspirin	carvedilol	edema	incision site oedema	20.0	1.22471	0.00016632	
aspirin	carvedilol	edema	brain oedema	0.32967	0.586712	0.00024948	
aspirin	carvedilol	edema	penile oedema	6.66667	0.912821	0.00016632	
aspirin	carvedilol	edema	scrotal oedema	15.0	0.645426	0.00049896	
aspirin	carvedilol	edema	bronchial oedema	5.0	1.22471	8.31601e-05	
aspirin	carvedilol	edema	non-cardiogenic pulmonary oedema	2.5	1.11799	8.31601e-05	
aspirin	carvedilol	edema	nasal oedema	4.28571	0.689999	0.00024948	
aspirin	carvedilol	edema	pharyngeal oedema	1.21053	0.220567	0.00191268	
aspirin	carvedilol	edema	skin oedema	0.833333	1.04079	8.31601e-05	
aspirin	carvedilol	edema	cystoid macular oedema	1.25	1.06062	8.31601e-05	
dronabinol	amitriptyline	myocardial infarction	myocardial infarction	2.0	0.618498	0.047619	
nortriptyline	chlorpromazine	delirium	delirium	10.0	1.40591	0.0212766	
pentazocine	clopidogrel	myocardial infarction	myocardial infarction	10.0	0.976815	0.0833333	
ambrisentan	modafinil	hypertension	pulmonary arterial hypertension	10.0	1.39557	0.047619	
aspirin	etanercept	pneumonia	eosinophilic pneumonia	4.0	0.836384	0.000839631	
aspirin	etanercept	pneumonia	pneumonia staphylococcal	6.0	0.729981	0.00125945	
aspirin	etanercept	pneumonia	pneumonia pneumococcal	10.0	1.41405	0.000419815	
aspirin	etanercept	pneumonia	pneumonia fungal	2.5	1.11783	0.000419815	
aspirin	etanercept	pneumonia	pneumocystis jiroveci pneumonia	6.66667	0.407682	0.00419815	
aspirin	etanercept	pneumonia	bronchopneumonia	3.68421	0.441619	0.00293871	
aspirin	etanercept	pneumonia	lobar pneumonia	2.5	0.790277	0.000839631	
aspirin	etanercept	pneumonia	pneumonia	2.25627	0.121117	0.034005	
aspirin	etanercept	pneumonia	pneumonia primary atypical	3.33333	1.1545	0.000419815	
aspirin	etanercept	pneumonia	pneumonia aspiration	0.645161	0.729244	0.000839631	
aspirin	etanercept	pneumonia	organising pneumonia	15.0	0.912618	0.00125945	
aspirin	etanercept	pneumonia	pneumocystis jirovecii pneumonia	5.0	0.70678	0.00125945	
sucralfate	caffeine	gastric ulcer	gastric ulcer	10.0	1.40273	0.0294118	
hydrochlorothiazide	dextroamphetamine	hypertension	hypertension	3.52941	0.466858	0.0410959	
hydrochlorothiazide	ketoprofen	myocardial infarction	myocardial infarction	1.25	0.6043	0.0267857	
aspirin	nortriptyline	myocardial infarction	acute myocardial infarction	3.57143	0.519263	0.00815661	
aspirin	nortriptyline	myocardial infarction	myocardial infarction	2.20183	0.221464	0.0391517	
tramadol	ambrisentan	hypertension	pulmonary arterial hypertension	20.0	0.86357	0.015444	
tramadol	ambrisentan	hypertension	pulmonary hypertension	13.3333	0.536115	0.030888	
tramadol	ambrisentan	hypertension	hypertension	0.277778	1.0117	0.003861	
hydrochlorothiazide	ibuprofen	myocardial infarction	acute myocardial infarction	3.33333	0.264086	0.00749803	
hydrochlorothiazide	ibuprofen	myocardial infarction	myocardial infarction	1.52542	0.117451	0.0319653	
aspirin	ropinirole	myocardial infarction	acute myocardial infarction	2.0	0.44622	0.00484262	
aspirin	ropinirole	myocardial infarction	myocardial infarction	0.91954	0.211211	0.0193705	
aspirin	ropinirole	pancreatitis	pancreatitis	1.09091	0.428906	0.00484262	
aspirin	ropinirole	pancreatitis	pancreatitis chronic	2.5	1.11764	0.000807102	
hydrochlorothiazide	nicardipine	myocardial infarction	myocardial infarction	0.357143	1.01347	0.0078125	
olanzapine	ambrisentan	hypertension	pulmonary hypertension	5.0	1.19443	0.0666667	
octreotide	clopidogrel	myocardial infarction	myocardial infarction	3.84615	0.509098	0.0806452	
prasugrel	dexamethasone	myocardial infarction	myocardial infarction	6.66667	0.878762	0.111111	
donepezil	ambrisentan	hypertension	pulmonary hypertension	20.0	1.21185	0.0571429	
insulin detemir	levothyroxine	neuropathy	diabetic neuropathy	15.0	0.912015	0.00426136	
insulin detemir	levothyroxine	neuropathy	polyneuropathy	10.0	0.706001	0.00568182	
insulin detemir	levothyroxine	neuropathy	neuropathy peripheral	2.27273	0.493854	0.00710227	
memantine	calcium	delirium	delirium	10.0	1.41235	0.00478469	
ropinirole	amitriptyline	sepsis	sepsis	1.25	0.747217	0.00757576	
imipramine	clopidogrel	myocardial infarction	acute myocardial infarction	10.0	1.40803	0.015873	
imipramine	clopidogrel	myocardial infarction	myocardial infarction	5.0	0.482224	0.0952381	
atropine	clopidogrel	myocardial infarction	acute myocardial infarction	20.0	0.858695	0.045977	
atropine	clopidogrel	myocardial infarction	myocardial infarction	5.88235	0.382335	0.114943	
risperidone	aspirin	myocardial infarction	acute myocardial infarction	3.75	0.337532	0.00715137	
risperidone	aspirin	myocardial infarction	myocardial infarction	1.31234	0.14822	0.0297974	
risperidone	aspirin	pancreatitis	alcoholic pancreatitis	20.0	1.22448	0.0011919	
risperidone	aspirin	pancreatitis	pancreatitis	6.57143	0.188067	0.0274136	
risperidone	aspirin	pancreatitis	pancreatitis acute	5.35714	0.318944	0.00893921	
risperidone	aspirin	pancreatitis	pancreatitis chronic	35.0	0.801375	0.00417163	
risperidone	aspirin	pancreatitis	pancreatitis necrotising	1.66667	1.07982	0.000595948	
prasugrel	gabapentin	myocardial infarction	acute myocardial infarction	10.0	0.807087	0.0416667	
prasugrel	gabapentin	myocardial infarction	myocardial infarction	10.0	0.389087	0.166667	
sucralfate	lidocaine	gastric ulcer	gastric ulcer	16.6667	0.726005	0.0284091	
aripiprazole	clopidogrel	myocardial infarction	acute myocardial infarction	5.0	0.861918	0.0129032	
aripiprazole	clopidogrel	myocardial infarction	myocardial infarction	3.0303	0.351007	0.0645161	
oxybutynin	ambrisentan	hypertension	pulmonary hypertension	10.0	0.988229	0.0425532	
oxybutynin	ambrisentan	hypertension	hypertension	10.0	1.40591	0.0212766	
epinephrine	aspirin	myocardial infarction	acute myocardial infarction	9.47368	0.326206	0.0290792	
epinephrine	aspirin	myocardial infarction	myocardial infarction	1.84211	0.233696	0.0339257	
erlotinib	levothyroxine	neuropathy	optic ischaemic neuropathy	5.0	1.22358	0.0025974	
erlotinib	levothyroxine	neuropathy	neuropathy peripheral	2.0	0.77275	0.00519481	
erlotinib	levothyroxine	neuropathy	neuropathy	5.0	1.22358	0.0025974	
ketoprofen	clopidogrel	myocardial infarction	myocardial infarction	1.15385	0.602372	0.0243902	
aspirin	desmopressin	edema	oedema peripheral	1.92308	0.481366	0.0306748	
aspirin	desmopressin	edema	oedema mouth	3.33333	1.15177	0.00613497	
aspirin	desmopressin	edema	angioedema	10.0	0.99662	0.0122699	
aspirin	desmopressin	edema	brain oedema	25.0	0.832617	0.0306748	
aspirin	desmopressin	edema	pharyngeal oedema	10.0	1.41183	0.00613497	
aspirin	dexamethasone	myocardial infarction	acute myocardial infarction	5.7377	0.14935	0.0112667	
aspirin	dexamethasone	myocardial infarction	myocardial infarction	0.844515	0.0997898	0.017222	
apomorphine	clopidogrel	myocardial infarction	myocardial infarction	10.0	0.956757	0.153846	
pramipexole	carvedilol	sepsis	sepsis	2.85714	0.562195	0.0195122	
hydrochlorothiazide	captopril	myocardial infarction	acute myocardial infarction	2.72727	0.458905	0.00833333	
hydrochlorothiazide	captopril	myocardial infarction	myocardial infarction	1.30435	0.247536	0.025	
erlotinib	carvedilol	neuropathy	neuropathy peripheral	2.5	0.784846	0.0163934	
hydrochlorothiazide	piroxicam	myocardial infarction	myocardial infarction	1.875	0.437034	0.0377358	
aspirin	trimipramine	myocardial infarction	acute myocardial infarction	16.6667	0.721785	0.0561798	
aspirin	trimipramine	myocardial infarction	myocardial infarction	1.42857	0.607118	0.0337079	
hydrochlorothiazide	celecoxib	myocardial infarction	acute myocardial infarction	4.69388	0.251838	0.00970464	
hydrochlorothiazide	celecoxib	myocardial infarction	myocardial infarction	2.09402	0.10898	0.0413502	
hydrochlorothiazide	celecoxib	myocardial infarction	silent myocardial infarction	10.0	1.41405	0.000421941	
quetiapine	chlorpromazine	delirium	delirium	4.16667	0.374995	0.0095057	
dronabinol	trazodone	myocardial infarction	acute myocardial infarction	10.0	1.40737	0.0175439	
dronabinol	trazodone	myocardial infarction	myocardial infarction	0.769231	1.02841	0.0175439	
hydrochlorothiazide	naproxen	myocardial infarction	acute myocardial infarction	2.82051	0.340449	0.00644783	
hydrochlorothiazide	naproxen	myocardial infarction	myocardial infarction	1.43251	0.146085	0.0304807	
clozapine	clopidogrel	myocardial infarction	acute myocardial infarction	15.0	0.908976	0.0193548	
clozapine	clopidogrel	myocardial infarction	myocardial infarction	4.41176	0.298298	0.0967742	
rizatriptan	clopidogrel	myocardial infarction	myocardial infarction	10.0	1.38616	0.0714286	
prasugrel	fentanyl	myocardial infarction	myocardial infarction	10.0	0.970621	0.105263	
hydrochlorothiazide	phenylephrine	myocardial infarction	myocardial infarction	1.92308	0.476813	0.050505	
tacrolimus	levothyroxine	neuropathy	optic neuropathy	5.0	1.22409	0.0014556	
tacrolimus	levothyroxine	neuropathy	polyneuropathy	13.3333	0.762714	0.00582242	
tacrolimus	levothyroxine	neuropathy	neuropathy peripheral	3.33333	0.514845	0.00727802	
tacrolimus	levothyroxine	neuropathy	peripheral sensory neuropathy	3.33333	1.15401	0.0014556	
tacrolimus	levothyroxine	neuropathy	neuropathy	5.0	1.22409	0.0014556	
diphenhydramine	clopidogrel	myocardial infarction	acute myocardial infarction	10.8333	0.397924	0.0226087	
diphenhydramine	clopidogrel	myocardial infarction	myocardial infarction	3.01887	0.196903	0.0556522	
paroxetine	gefitinib	pneumonia	eosinophilic pneumonia	10.0	1.40609	0.0208333	
paroxetine	gefitinib	pneumonia	bronchopneumonia	10.0	1.40609	0.0208333	
paroxetine	gefitinib	pneumonia	pneumonia	5.0	0.593366	0.0833333	
paroxetine	gefitinib	pneumonia	pneumonia aspiration	10.0	1.40609	0.0208333	
gefitinib	tiotropium	pneumonia	pneumonia	6.66667	0.87178	0.133333	
aspirin	atropine	myocardial infarction	acute myocardial infarction	28.0	0.517049	0.0520446	
aspirin	atropine	myocardial infarction	myocardial infarction	2.75862	0.275049	0.0594796	
aspirin	atropine	pancreatitis	pancreatitis	5.0	0.609024	0.0148699	
dronabinol	diphenhydramine	myocardial infarction	acute myocardial infarction	3.33333	1.1494	0.0111111	
dronabinol	diphenhydramine	myocardial infarction	myocardial infarction	0.952381	0.731708	0.0222222	
hydrochlorothiazide	fluoxetine	myocardial infarction	acute myocardial infarction	4.25	0.288363	0.0103595	
hydrochlorothiazide	fluoxetine	myocardial infarction	myocardial infarction	1.86782	0.132619	0.03961	
hydrochlorothiazide	aripiprazole	myocardial infarction	myocardial infarction	0.283019	0.583718	0.00556586	
hydrochlorothiazide	aripiprazole	hypertension	pulmonary hypertension	13.3333	0.762425	0.00742115	
hydrochlorothiazide	aripiprazole	hypertension	essential hypertension	20.0	1.22391	0.00371058	
hydrochlorothiazide	aripiprazole	hypertension	hypertension	5.96154	0.222369	0.0575139	
dexamethasone	clopidogrel	myocardial infarction	acute myocardial infarction	9.04762	0.314089	0.0276163	
dexamethasone	clopidogrel	myocardial infarction	myocardial infarction	2.0	0.203121	0.0406977	
clopidogrel	disopyramide	myocardial infarction	myocardial infarction	7.5	0.739369	0.1	
fluoxetine	caffeine	myocardial infarction	myocardial infarction	0.666667	0.725225	0.0134228	
terazosin	ambrisentan	hypertension	pulmonary hypertension	10.0	1.40366	0.027027	
ropinirole	clopidogrel	myocardial infarction	acute myocardial infarction	3.75	0.67508	0.0070922	
ropinirole	clopidogrel	myocardial infarction	myocardial infarction	2.04301	0.246544	0.0449173	
prasugrel	trazodone	myocardial infarction	myocardial infarction	10.0	0.967106	0.117647	
dronabinol	dexamethasone	myocardial infarction	acute myocardial infarction	3.33333	0.813138	0.00995025	
dronabinol	dexamethasone	myocardial infarction	myocardial infarction	0.952381	0.518012	0.0199005	
hydrochlorothiazide	tacrolimus	myocardial infarction	myocardial infarction	1.38889	0.470629	0.0285714	
quetiapine	cinacalcet	pancreatitis	pancreatitis	10.0	1.39792	0.0416667	
epinephrine	etanercept	myocardial infarction	acute myocardial infarction	10.0	1.40514	0.0232558	
risperidone	clopidogrel	myocardial infarction	acute myocardial infarction	5.45455	0.5045	0.0166667	
risperidone	clopidogrel	myocardial infarction	myocardial infarction	3.37838	0.224628	0.0694444	
memantine	clopidogrel	myocardial infarction	acute myocardial infarction	5.45455	0.505056	0.0136054	
memantine	clopidogrel	myocardial infarction	myocardial infarction	0.97561	0.367016	0.0181406	
caffeine	amitriptyline	myocardial infarction	myocardial infarction	0.697674	0.592574	0.0148515	
hydrochlorothiazide	flurbiprofen	myocardial infarction	myocardial infarction	6.66667	0.878762	0.111111	
hydrochlorothiazide	prednisone	myocardial infarction	acute myocardial infarction	2.05607	0.233518	0.0053948	
hydrochlorothiazide	prednisone	myocardial infarction	myocardial infarction	0.961969	0.111699	0.0210888	
hydrochlorothiazide	imipramine	myocardial infarction	acute myocardial infarction	5.0	1.22073	0.00892857	
hydrochlorothiazide	imipramine	myocardial infarction	myocardial infarction	0.37037	1.01352	0.00892857	
hydrochlorothiazide	imipramine	hypertension	pulmonary hypertension	2.0	1.09095	0.00892857	
hydrochlorothiazide	imipramine	hypertension	hypertension	6.36364	0.473228	0.0625	
hydrochlorothiazide	estradiol	myocardial infarction	myocardial infarction	1.49533	0.18684	0.0294931	
ambrisentan	escitalopram	hypertension	portal hypertension	10.0	1.41244	0.00456621	
ambrisentan	escitalopram	hypertension	pulmonary arterial hypertension	40.0	1.11579	0.0182648	
ambrisentan	escitalopram	hypertension	pulmonary hypertension	50.0	1.09315	0.0228311	
indomethacin	levothyroxine	neuropathy	diabetic neuropathy	3.33333	1.15319	0.00316456	
indomethacin	levothyroxine	neuropathy	polyneuropathy	2.5	1.11648	0.00316456	
indomethacin	levothyroxine	neuropathy	neuropathy peripheral	1.30435	0.611008	0.00949367	
indomethacin	levothyroxine	neuropathy	peripheral sensory neuropathy	20.0	1.22332	0.00632911	
atropine	albuterol	sepsis	sepsis	5.0	0.45523	0.0448718	
atropine	albuterol	sepsis	urosepsis	10.0	1.41172	0.00641026	
aspirin	celecoxib	myocardial infarction	acute myocardial infarction	6.45455	0.151463	0.0151289	
aspirin	celecoxib	myocardial infarction	myocardial infarction	4.31655	0.056341	0.089495	
aspirin	celecoxib	myocardial infarction	silent myocardial infarction	10.0	0.999883	0.000426167	
paroxetine	propranolol	sepsis	candida sepsis	10.0	1.41363	0.0015083	
paroxetine	propranolol	sepsis	sepsis	1.29032	0.529716	0.00603318	
candesartan	cinacalcet	pancreatitis	pancreatitis	2.5	1.1131	0.01	
tramadol	clopidogrel	myocardial infarction	acute myocardial infarction	7.35294	0.262168	0.0154512	
tramadol	clopidogrel	myocardial infarction	myocardial infarction	3.23442	0.10706	0.0673671	
vemurafenib	levothyroxine	neuropathy	neuropathy peripheral	5.0	1.22076	0.00884956	
dronabinol	fentanyl	myocardial infarction	myocardial infarction	0.555556	0.722649	0.010101	
diflunisal	aspirin	myocardial infarction	myocardial infarction	2.5	1.10347	0.0294118	
hydrochlorothiazide	testosterone	myocardial infarction	acute myocardial infarction	2.5	0.556937	0.00843882	
hydrochlorothiazide	testosterone	myocardial infarction	myocardial infarction	1.5	0.305798	0.0253165	
ambrisentan	pramipexole	hypertension	pulmonary hypertension	10.0	1.40873	0.0140845	
amitriptyline	clopidogrel	myocardial infarction	acute myocardial infarction	5.17241	0.316214	0.0157895	
amitriptyline	clopidogrel	myocardial infarction	myocardial infarction	4.0201	0.127934	0.0842105	
clopidogrel	trazodone	myocardial infarction	acute myocardial infarction	6.0	0.363099	0.0162822	
clopidogrel	trazodone	myocardial infarction	myocardial infarction	3.59477	0.152398	0.0746269	
hydrochlorothiazide	salicylic acid	myocardial infarction	myocardial infarction	4.0	0.814453	0.0666667	
cinacalcet	losartan	pancreatitis	pancreatitis	2.5	1.11325	0.00970874	
pseudoephedrine	ambrisentan	hypertension	pulmonary hypertension	5.0	1.21255	0.027027	
aspirin	eprosartan	edema	oedema peripheral	2.5	0.553058	0.0240964	
aspirin	eprosartan	edema	pulmonary oedema	1.0	1.04564	0.0060241	
aspirin	eprosartan	edema	eyelid oedema	10.0	0.996681	0.0120482	
aspirin	eprosartan	edema	oedema	1.25	1.05753	0.0060241	
aspirin	eprosartan	edema	angioedema	5.0	0.862191	0.0120482	
aspirin	eprosartan	edema	angioneurotic oedema	10.0	1.41187	0.0060241	
aspirin	hydroxyzine	myocardial infarction	acute myocardial infarction	2.14286	0.449024	0.00413508	
aspirin	hydroxyzine	myocardial infarction	myocardial infarction	2.2807	0.134667	0.0447967	
aspirin	dextroamphetamine	myocardial infarction	myocardial infarction	0.196078	1.00711	0.00485437	
diclofenac	caffeine	myocardial infarction	acute myocardial infarction	5.0	1.2216	0.00699301	
diclofenac	caffeine	myocardial infarction	myocardial infarction	1.6129	0.473884	0.034965	
hydrochlorothiazide	amitriptyline	myocardial infarction	acute myocardial infarction	5.18518	0.328249	0.00913838	
hydrochlorothiazide	amitriptyline	myocardial infarction	myocardial infarction	1.53374	0.149497	0.0326371	
hydrochlorothiazide	amitriptyline	myocardial infarction	silent myocardial infarction	2.5	1.11771	0.000652742	
hydrochlorothiazide	amitriptyline	hypertension	portal hypertension	4.0	0.836231	0.00130548	
hydrochlorothiazide	amitriptyline	hypertension	benign intracranial hypertension	1.66667	1.07979	0.000652742	
hydrochlorothiazide	amitriptyline	hypertension	pulmonary arterial hypertension	1.11111	1.05375	0.000652742	
hydrochlorothiazide	amitriptyline	hypertension	pulmonary hypertension	6.4	0.319033	0.0104439	
hydrochlorothiazide	amitriptyline	hypertension	malignant hypertension	20.0	1.22445	0.00130548	
hydrochlorothiazide	amitriptyline	hypertension	essential hypertension	10.0	0.706599	0.00261097	
hydrochlorothiazide	amitriptyline	hypertension	hypertension	3.34951	0.136488	0.0450392	
hydrochlorothiazide	amitriptyline	hypertension	labile hypertension	20.0	1.22445	0.00130548	
ambrisentan	trazodone	hypertension	pulmonary arterial hypertension	4.0	0.832295	0.013245	
ambrisentan	trazodone	hypertension	pulmonary hypertension	10.0	0.812023	0.0198676	
ambrisentan	trazodone	hypertension	hypertension	0.588235	1.02545	0.00662252	
caffeine	prednisone	myocardial infarction	myocardial infarction	0.454545	0.719564	0.00900901	
clonidine	ropinirole	sepsis	sepsis	1.53846	0.753786	0.015873	
formoterol	paroxetine	sepsis	sepsis	2.5	0.642986	0.00882353	
dronabinol	octreotide	myocardial infarction	myocardial infarction	20.0	1.18322	0.181818	
hydrochlorothiazide	midodrine	hypertension	pulmonary arterial hypertension	10.0	1.38804	0.0666667	
hydrochlorothiazide	midodrine	hypertension	pulmonary hypertension	10.0	1.38804	0.0666667	
epinephrine	lidocaine	ventricular tachy	supraventricular tachycardia	12.5	0.66976	0.00645995	
epinephrine	lidocaine	ventricular tachy	ventricular tachycardia	11.4286	0.364016	0.0206718	
aspirin	clozapine	myocardial infarction	acute myocardial infarction	3.57143	0.366819	0.0105263	
aspirin	clozapine	myocardial infarction	myocardial infarction	2.34694	0.16026	0.0484211	
aspirin	clozapine	pancreatitis	pancreatitis	2.22222	0.347943	0.0105263	
aspirin	clozapine	pancreatitis	pancreatitis acute	1.53846	0.758792	0.00210526	
aspirin	clozapine	pancreatitis	pancreatitis chronic	10.0	1.4138	0.00105263	
aspirin	clozapine	pancreatitis	pancreatitis relapsing	10.0	1.4138	0.00105263	
clopidogrel	gabapentin	myocardial infarction	acute myocardial infarction	5.86667	0.188829	0.0161705	
clopidogrel	gabapentin	myocardial infarction	myocardial infarction	3.41969	0.0798333	0.0727674	
clonidine	paroxetine	sepsis	sepsis	2.0	0.545694	0.00806452	
clonidine	paroxetine	sepsis	urosepsis	5.0	1.22384	0.00201613	
clonidine	paroxetine	sepsis	device related sepsis	20.0	1.22384	0.00403226	
epinephrine	bivalirudin	myocardial infarction	myocardial infarction	5.0	1.20506	0.0434783	
aspirin	piroxicam	myocardial infarction	acute myocardial infarction	1.66667	1.07845	0.00327869	
aspirin	piroxicam	myocardial infarction	myocardial infarction	2.5	0.272981	0.052459	
hydrochlorothiazide	sulindac	myocardial infarction	myocardial infarction	1.48148	0.526429	0.036036	
promethazine	gefitinib	pneumonia	pneumonia	7.5	0.734393	0.12	
aspirin	goserelin	myocardial infarction	acute myocardial infarction	1.66667	0.761413	0.00651466	
aspirin	goserelin	myocardial infarction	myocardial infarction	1.51515	0.334019	0.0325733	
ambrisentan	metoclopramide	hypertension	pulmonary arterial hypertension	13.3333	0.757933	0.0322581	
ambrisentan	metoclopramide	hypertension	pulmonary hypertension	15.0	0.907999	0.0241935	
aspirin	salicylic acid	myocardial infarction	acute myocardial infarction	5.0	1.21624	0.0188679	
aspirin	salicylic acid	myocardial infarction	myocardial infarction	2.72727	0.635207	0.0566038	
citalopram	ambrisentan	hypertension	pulmonary arterial hypertension	8.33333	0.601619	0.0214592	
citalopram	ambrisentan	hypertension	pulmonary hypertension	27.5	0.579817	0.0472103	
olanzapine	clopidogrel	myocardial infarction	acute myocardial infarction	11.6667	0.55315	0.0225806	
olanzapine	clopidogrel	myocardial infarction	myocardial infarction	4.70588	0.205931	0.103226	
quetiapine	melatonin	delirium	delirium	7.5	0.760358	0.0141509	
ropinirole	ambrisentan	hypertension	pulmonary arterial hypertension	10.0	1.40968	0.0116279	
fentanyl	clopidogrel	myocardial infarction	acute myocardial infarction	5.58824	0.284726	0.0168291	
fentanyl	clopidogrel	myocardial infarction	myocardial infarction	2.98643	0.136756	0.0584588	
quinapril	aliskiren	myocardial infarction	myocardial infarction	2.0	1.081	0.0285714	
hydrochlorothiazide	iloprost	hypertension	pulmonary hypertension	20.0	1.21698	0.0344828	
hydrochlorothiazide	iloprost	hypertension	hypertension	4.0	0.825248	0.0344828	
aspirin	donepezil	myocardial infarction	acute myocardial infarction	4.4	0.254714	0.0115063	
aspirin	donepezil	myocardial infarction	myocardial infarction	1.19898	0.152487	0.0245816	
hydrochlorothiazide	loxapine	hypertension	hypertension	12.0	0.570899	0.222222	
pramipexole	amitriptyline	sepsis	sepsis	1.66667	1.07819	0.00380228	
prasugrel	paroxetine	myocardial infarction	myocardial infarction	20.0	1.20088	0.105263	
perphenazine	clopidogrel	myocardial infarction	myocardial infarction	6.0	0.704746	0.1	
aspirin	pramipexole	myocardial infarction	acute myocardial infarction	4.09091	0.394378	0.00844278	
aspirin	pramipexole	myocardial infarction	myocardial infarction	1.08491	0.217171	0.021576	
aspirin	pramipexole	pancreatitis	pancreatitis	1.5	0.356014	0.00844278	
aspirin	pramipexole	pancreatitis	pancreatitis acute	0.5	1.02419	0.000938086	
aspirin	mirtazapine	myocardial infarction	acute myocardial infarction	4.44444	0.244307	0.0108942	
