Drug Name	DrugBankID	Label DME	PathFX Phenotype	PathFX Phen. CUI	Corrected P-value	Network genes assoc to phen	
irbesartan	DB01029	Myocardial infarction	Myocardial Infarction	C0027051	6.78311163606e-05	AVPR1A,EDNRB,UTS2R,BDKRB1,CASR,GCG,EDN2,F2R,AGTR1,F2RL1,ADRA1D,GHSR,F2,P2RY11,CYP3A4,CYP2D6,AGT,UTS2,CYP2C9,EDN1,KNG1,GHRL,P2RY2,CYP2C8,PTGS1,BDKRB2,EDNRA,CYP1A2	
irbesartan	DB01029	Myocardial infarction	Old myocardial infarction	C0155668	0.000149765104945	AGTR1,F2,CYP2C9,CYP2C8	
irbesartan	DB01029	Pulmonary edema	High altitude pulmonary edema	C0340100	0.000204708562386	AGTR1,EDN1,EDNRA	
irbesartan	DB01029	Edema	High altitude pulmonary edema	C0340100	0.000204708562386	AGTR1,EDN1,EDNRA	
cabozantinib	DB08875	Cerebral infarction	Ischaemic cerebral infarction	C0007785	0.000154221912073	CDC42,ANGPT1,KDR,CALM3,PIK3CA,ARTN,CYP3A4,HGF,GDNF,CSF2,HBEGF,DLG4,PIK3CB,PSPN,SOS1,FGF2	
cabozantinib	DB08875	Hypertension	Primary pulmonary hypertension	C0152171	9.25935140637e-05	ANGPT1,HSP90AA1,TEK,ROCK2,ROCK1,HGF,EGF,PDGFA,SRC,CYP2C9,PTPN11,PTK2B,FGF2	
cabozantinib	DB08875	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000101423226013	ANGPT1,FGFR4,CALM3,TEK,ROCK2,RHOA,ROCK1,PXN,HGF,CSF2,EGF,FGFR1,PDGFA,PTK2B,FGF2	
cabozantinib	DB08875	Hypertension	Pulmonary arterial hypertension	C3203102	0.000110445268432	ANGPT1,HSP90AA1,TEK,ROCK2,ROCK1,HGF,EGF,PDGFA,SRC,CYP2C9,PTPN11,PTK2B,FGFR3,FGF2	
cabozantinib	DB08875	Hemorrhage	Gastrointestinal hemorrhage	C0017181	0.000254739594683	KRAS,PIK3CA,TEK,CSF2,CYP2C9,ITGB3	
isometheptene	DB06706	Hypertension	Essential hypertension	C0085580	5.29765155653e-05	AVPR1A,EDN2,EDN1,UTS2,ADRA1D,TRHR,LPAR2,LPAR1,P2RY2,ADRA1A,BDKRB1,KNG1,AGT,GCGR,PTGFR,EDNRA,ADRA1B,BDKRB2	
isometheptene	DB06706	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000136991869919	F2,TACR2,TAC1,EDN1,UTS2,EDNRB,CYSLTR1,NPS,HTR2B,CASR,AGT,TACR1,EDNRA,F2RL1,BDKRB2,UTS2B	
isometheptene	DB06706	Hypertension	Hypertension	C0020538	4.8980446586e-05	F2,XCL1,KISS1,F2R,AVPR1A,GHRL,EDN2,TAC3,EDN1,UTS2,GNA14,GCG,ADRA1D,EDNRB,TACR3,TRHR,LPAR2,GHSR,LPAR1,OXT,CHRM3,P2RY2,ADRA1A,APP,GNA12,SAA1,PTGER1,HTR2B,BDKRB1,KNG1,OXTR,CASR,AGT,TRH,NTS,GCGR,PPFIA4,TACR1,CYSLTR2,EDNRA,ADRA1B,GNRH1,BDKRB2,UTS2R,EDN3	
isometheptene	DB06706	Hypertension	genetic hypertension	C0598428	0.000179506486477	EDN1,LPAR2,ADRA1A,AGT,CYSLTR2,EDNRA	
isometheptene	DB06706	Hypertension	Primary pulmonary hypertension	C0152171	0.000109743861294	F2R,EDN1,EDNRB,NPS,HTR2B,BDKRB1,KNG1,EDNRA,F2RL1,BDKRB2	
isometheptene	DB06706	Hypertension	Pulmonary arterial hypertension	C3203102	0.000149896111606	F2R,EDN1,EDNRB,NPS,HTR2B,BDKRB1,KNG1,EDNRA,F2RL1,BDKRB2	
isometheptene	DB06706	Hypertension	Portal hypertension, noncirrhotic	C0020541	0.000215286077694	EDN1,EDNRB,AGT,EDNRA,BDKRB2,UTS2B	
isometheptene	DB06706	Hypertension	Ocular Hypertension	C0028840	0.000328326180258	EDNRB,GHSR,PTGFR	
cetirizine	DB00341	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000161900369004	UTS2B,CYSLTR1,F2,HTR2B,AGT,TACR2,EDNRB,BDKRB2,EDN1,TAC1,UTS2,NPS,TACR1,CASR,EDNRA,F2RL1	
cetirizine	DB00341	Hypertension	Essential hypertension	C0085580	7.35272006863e-05	BDKRB1,P2RY2,ADRA1D,GCGR,LPAR2,PTGFR,AGT,ADRA1A,ADRA1B,AVPR1A,BDKRB2,EDN1,KNG1,UTS2,TRHR,EDNRA,LPAR1,EDN2	
cetirizine	DB00341	Hypertension	Hypertension	C0020538	0.000166153846154	SAA1,CYSLTR2,GNRH1,GHRL,BDKRB1,CHRM3,P2RY2,KISS1,GHSR,ADRA1D,F2,OXT,OXTR,XCL1,GCGR,LPAR2,UTS2R,HTR2B,AGT,ADRA1A,GNA14,GCG,ADRA1B,AVPR1A,EDNRB,BDKRB2,NTS,EDN1,KNG1,UTS2,TACR1,EDN3,TRHR,CASR,TACR3,F2R,EDNRA,TRH,APP,LPAR1,EDN2,TAC3,PTGER1	
cetirizine	DB00341	Hypertension	genetic hypertension	C0598428	7.3748308525e-05	CYSLTR2,LPAR2,AGT,ADRA1A,EDN1,EDNRA	
cetirizine	DB00341	Hypertension	Primary pulmonary hypertension	C0152171	9.28362573099e-05	BDKRB1,HTR2B,EDNRB,BDKRB2,EDN1,KNG1,NPS,F2R,EDNRA,F2RL1	
cetirizine	DB00341	Hypertension	Pulmonary arterial hypertension	C3203102	0.00015	BDKRB1,HTR2B,EDNRB,BDKRB2,EDN1,KNG1,NPS,F2R,EDNRA,F2RL1	
cetirizine	DB00341	Hypertension	Portal hypertension, noncirrhotic	C0020541	0.000158477008471	UTS2B,AGT,EDNRB,BDKRB2,EDN1,EDNRA	
cetirizine	DB00341	Hypertension	Ocular Hypertension	C0028840	0.000222222222222	GHSR,PTGFR,EDNRB	
clopidogrel	DB00758	Pneumonia	Pneumonia	C0032285	6.46111207345e-05	PF4,NPW,CXCR3,CXCL13,CXCR4,LPAR1,POMC,C3,CXCL12,CXCL8,CCR3,CCL5,CCR2,CCL19,CXCR2,CCR9,CCR1,CXCL1,LPAR2,CCL20,CCR8,C3AR1,CCR6,CXCL5,PTGDR2,C5AR1,ADORA3,CXCL9,KNG1,CXCL2	
clopidogrel	DB00758	Pneumonia	Streptococcal pneumonia	C0155862	0.000148348556388	PPBP,C3,CXCL8,CCL5	
perindopril	DB00790	Edema	High altitude pulmonary edema	C0340100	0.000266666666667	ACE,REN	
perindopril	DB00790	Proteinuria	Proteinuria Adverse Event	C1962972	0.000334307992203	AGT,ACE	
canakinumab	DB06168	Sepsis	Sepsis	C0243026	7.76647027317e-05	IL1B,IRAK1,MYD88,IRAK4,IL1R1	
canakinumab	DB06168	Pneumonia	Pneumonia, Bacterial	C0004626	1	MYD88	
danazol	DB01406	Pancreatitis	Hereditary pancreatitis	C0238339	8.35536753041e-05	TACR3,CCKBR,F2RL1,P2RY6,TACR2,GCG,NTS,NTSR1,CASR,GAST,TACR1,MGST1,CCL2,EDN1,TAC1	
danazol	DB01406	Myocardial infarction	Myocardial Infarction	C0027051	6.82538386543e-05	F2R,UTS2,BDKRB1,F2RL1,AGT,GHRL,GCG,UTS2R,AVPR1A,ADRA1D,CASR,EDNRA,BDKRB2,KNG1,AR,EDNRB,P2RY11,ESR1,F2,GHSR,EDN2,CYP3A4,P2RY2,CCL2,EDN1	
danazol	DB01406	Myocardial infarction	Acute myocardial infarction	C0155626	0.000154224774405	AGT,GCG,EDNRA,P2RY11,ESR1,F2,CCL2,EDN1	
aminosalicylic acid	DB00233	Thrombocytopenia	Autoimmune thrombocytopenia	C0242584	0.000523207670516	NFKB2,NFKB1	
aminosalicylic acid	DB00233	Hemolytic anemia	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	C0002878	0.000437928291435	NFKB2,PTGS2,NFKB1	
ipilimumab	DB06186	Hemorrhage	Peptic Ulcer Hemorrhage	C0041582	1	CTLA4	
ipilimumab	DB06186	Hemolytic anemia	Autoimmune hemolytic anemia	C0002880	0.000287098590039	CTLA4	
ipilimumab	DB06186	Hemorrhage	Gastrointestinal hemorrhage	C0017181	0.000509489051095	CTLA4	
ipilimumab	DB06186	Hemorrhage	Subcutaneous hemorrhage	C0854107	0.000569343065693	CTLA4	
teriparatide	DB06285	Hypertension	Essential hypertension	C0085580	7.35272006863e-05	GNAS,POMC,ADM,GCGR,VIP,PTH,FSHR,ADRB3,CALCA,CALCRL,ADRB1	
teriparatide	DB06285	Hypertension	Hypertension	C0020538	0.000166153846154	GNAS,GPR83,PTGER4,IAPP,MC2R,POMC,ADM,GCGR,MC3R,PTH,FSHR,GCG,RAMP2,ADRB3,HTR4,CALCA,CALCRL,ADRB1,ADORA2B,CRHR1,LHB,RAMP1	
teriparatide	DB06285	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000161900369004	ADM,VIP,RAMP2,CALCA,NPS,ADRB1,ADORA2B	
indomethacin	DB00328	Myocardial infarction	Acute myocardial infarction	C0155626	0.000118727600241	PTGS2,F7,PPARG,CST3,DMD,ABCB1,HP,APOA1,ABCC6,CYP2C19,PLA2G2A,SCN5A,ITGA2,APOE	
indomethacin	DB00328	Proteinuria	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	C0033687	0.00015838468173	PTGS2,CFH,CTSL,HP,NPHS1,APOA1,CYP2C9,POMC,ALB,APOE,PPARA,SAA1,FN1	
indomethacin	DB00328	Peripheral neuropathy	Peripheral neuropathy, myopathy, hoarseness, and hearing loss	C0031117	0.000177171599667	PPARG,GJC2,SPAST,APP,PTGS1,SERPING1,GFAP,UGT2B7,SETX,CES1,SACS,MED25,NLRC4,SLC22A8,TP53,ABCB1,TLN2,ABCC6,ABCC1,ABCC3,ABCC4,ABCC2,APOE,MED9,LDB3,ATM,GSN,TTR	
indomethacin	DB00328	Hypertension	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis	C0740394	0.000250445950767	PPARG,APOA4,SLC22A11,APOA1,APOC3,APOE,SAA1	
indomethacin	DB00328	Myocardial infarction	Old myocardial infarction	C0155668	0.000178341952672	APOA4,APOA1,CYP2C9,APOE	
terbutaline	DB00871	Hypertension	Essential hypertension	C0085580	5.29765155653e-05	CALCA,GCGR,DNM2,CALCRL,POMC,ADRB1,LDLR,ADRB2,GNAS,ADRB3,APOB,ADM,PTH,VIP,FSHR	
terbutaline	DB00871	Hypertension	Hypertension	C0020538	4.8980446586e-05	CALCA,HGS,HTR4,GCGR,DNM2,GCG,IAPP,ADORA2B,CALCRL,POMC,EGFR,MC2R,ADRB1,GPR83,RAMP2,LHB,SCARB2,LRP2,LDLR,MC3R,ADRB2,GNAS,ADRB3,APOB,ADM,CRHR1,M6PR,PTH,EGF,AVPR2,FSHR,PTGER4,RAMP1,AVP,LDLRAP1	
nintedanib	DB09079	Hemorrhage	Gastrointestinal hemorrhage	C0017181	0.000155377033178	VWF,HLA-DRB1,KIT,FGG,B2M,PDGFRA,FGB,FGA,HLA-DPB1,JAK2,ITGA2B,PIK3CA,PTPN22,ITGB3,KRAS	
nintedanib	DB09079	Hypertension	Primary pulmonary hypertension	C0152171	0.000103593516246	EPHB2,HLA-DRB1,EFNA1,CD47,MAPK3,FGF2,PECAM1,SRC,F2R,ROCK2,JAK2,ROCK1,PTK2B,MAPK1,PDGFA,PTPN11,HSP90AA1,HGF,EGF	
nintedanib	DB09079	Hemorrhage	Internal hemorrhage	C0333285	0.000208022151886	VWF,FN1,RET,KIT,FGG,B2M,PDGFRA,FGB,FGA,HLA-DPB1,JAK2,ITGA2B,PIK3CA,PTPN22,ITGB3,KRAS	
nintedanib	DB09079	Hypertension	Pulmonary arterial hypertension	C3203102	0.000120972403623	EPHB2,HLA-DRB1,EFNA1,CD47,MAPK3,FGF2,FGFR3,PECAM1,SRC,F2R,ROCK2,JAK2,ROCK1,PTK2B,MAPK1,PDGFA,PTPN11,HSP90AA1,HGF,EGF,STAT1	
nintedanib	DB09079	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000114294785224	VWF,HLA-DRB1,MAPK3,RHOA,FGB,FGF2,FGFR4,FGA,HLA-DPB1,ROCK2,EPHA8,JAK2,FGFR1,PDGFB,ROCK1,PTK2B,PXN,PDGFA,HGF,EGF	
nintedanib	DB09079	Pancreatitis	Pancreatitis	C0030305	0.000163958517077	HLA-DRB1,FGG,PSPN,HLA-DQA1,HRAS,FGB,HLA-E,HLA-DQA2,FGA,HLA-DPB1,MET,PDGFB,CD4,PDGFA,PTPN22,HLA-DQB1,HGF,KRAS	
nintedanib	DB09079	Thrombocytopenia	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	C0040034	0.000203317110399	VWF,HLA-DRB1,HLA-DRB3,PDGFRB,PECAM1,SRC,BCR,BTK,JAK2,ITGA2B,PDGFB,NRAS,PTPN22,PTPN11,ITGB3,STAT1	
bismuth subsalicylate	DB01294	Hemorrhage	Subarachnoid hemorrhage	C0038525	0.00029801553063	GFAP,ADRB2,SLA2,ITGA2,APOE,CAMTA1,TTR,HP,BIN1,DNAJC6	
bismuth subsalicylate	DB01294	Hemorrhage	Brain Hemorrhage, Traumatic	C0553692	1	F7,ITGA2,APOA1	
fentanyl	DB00813	Pneumonia	Pneumonia	C0032285	5.20832583612e-05	CXCL8,CCL20,CXCL13,PF4,CCL5,C5AR1,CCR6,CCR1,LPAR1,CCR8,KNG1,CCR2,CXCL9,CXCR2,CXCR3,CCR9,CCL19,LPAR2,CXCL5,CXCL12,CXCL1,CXCR4,CCR3,NPW,CXCL2,ADORA3,PTGDR2,POMC,C3AR1,C3	
fentanyl	DB00813	Hypertension	Hypertension	C0020538	4.38553022795e-05	MGST3,CXCL8,SSTR4,CYP3A5,CXCL13,APP,GAL,FPR1,ADRA2C,AGT,NPY1R,OPRM1,OPRD1,ANXA1,BDKRB2,CXCR6,CCR6,LPAR1,ADRA2B,SAA1,KNG1,GABBR1,CCR2,ADRA2A,CCL21,BDKRB1,HTR1B,DRD3,ACKR3,GPER1,LPAR2,APLN,NPY,GNAI2,PYY,PDYN,ADORA1,SST,CXCL2,CCR5,APLNR,PPBP,ABCB1,POMC,AGTR2,CYP3A4,CNR1,HRH3,NPY2R,CCL28,SUCNR1,CASR	
fentanyl	DB00813	Hypertension	genetic hypertension	C0598428	7.00245700246e-05	SSTR4,AGT,CXCR6,ADRA2B,ACKR3,LPAR2	
fentanyl	DB00813	Sepsis	Sepsis	C0243026	6.4366625524e-05	CXCL8,APP,C5,GAL,FPR2,AGT,CCL5,C5AR1,SAA1,KNG1,CCR2,ADRA2A,CXCR2,PNOC,CXCL12,SST,CXCR4,CXCL2,POMC,AGTR2,C3AR1,C3,S1PR3	
fentanyl	DB00813	Myocardial infarction	Myocardial Infarction	C0027051	6.43108463976e-05	HTR1D,CXCL8,CYP3A5,P2RY12,AGT,CCL5,OPRD1,OPRK1,BDKRB2,CCR1,ADRA2B,KNG1,CCR2,CXCR5,CXCL6,BDKRB1,GRM8,CXCL10,NPY,CXCL12,ADORA1,CCR3,ADORA3,CCR5,ABCB1,AGTR2,CYP3A4,CNR1,C3,CASR,TAS2R50	
fentanyl	DB00813	Hypertension	Renovascular hypertension	C0020545	9.67565525737e-05	AGT,PTGER3,CXCR3,CXCL10,AGTR2,SUCNR1	
fentanyl	DB00813	Hypertension	Primary pulmonary hypertension	C0152171	0.000108686395414	CCR7,CCL5,BDKRB2,CCR1,KNG1,BDKRB1,HTR1B,CXCL12,CXCR4,CCR5,APLNR	
fentanyl	DB00813	Pneumonia	Pneumocystis jiroveci pneumonia	C1535939	0.000120152663037	CXCL8,CXCR6,CXCL10,CXCR4,CCR5,C3	
fentanyl	DB00813	Pneumonia	Streptococcal pneumonia	C0155862	0.000142997542998	CXCL8,CCL5,PPBP,C3	
fentanyl	DB00813	Delirium	Cocaine delirium	C0011206	0.000264165588616	CXCL8,CYP3A5,DRD3,CYP3A4	
tacrolimus	DB00864	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000118042728514	APOA1,CDCP1,ALB,F7,HP,APOA4,NPHS1,CYP3A4,APOA2,ABCB1,SLC25A13,CYP3A5,APOC3,APOC2,APOE,APOC1	
tacrolimus	DB00864	Myocardial infarction	Myocardial Infarction	C0027051	8.73571691854e-05	APOA1,CDCP1,CST3,GFAP,KCNMA1,F7,HP,GSN,SERPING1,TGFBR2,KRT16,APOA4,ITGA2,CYP3A4,AHSG,APOA2,ABCB1,SCN5A,CYP3A5,FN1,CFH,APOC3,ATM,APOE,APOC1	
tacrolimus	DB00864	Hyperlipidemia	Hyperlipidemia, familial combined	C0020474	9.12899669239e-05	APOA1,ALB,APOA4,APOA2,FN1,APOC3,APOE	
tacrolimus	DB00864	Myocardial infarction	Acute myocardial infarction	C0155626	0.000162653645057	APOA1,CST3,F7,HP,TGFBR1,ITGA2,DMD,ABCB1,SCN5A,APOE	
tacrolimus	DB00864	Hemorrhage	Subarachnoid hemorrhage	C0038525	0.000204871841483	GFAP,HP,TTR,TGFBR1,TGFBR2,ITGA2,CYP3A4,SLA2,CAMTA1,APOE	
tacrolimus	DB00864	Peripheral neuropathy	Peripheral neuropathy, myopathy, hoarseness, and hearing loss	C0031117	0.000172416154067	TLN2,GFAP,SPAST,TTR,GSN,SERPING1,TGFBR2,NLRC4,SACS,CYP3A4,ABCB1,LDB3,CYP3A5,ATM,APOE,GJC2,SETX	
tacrolimus	DB00864	Hemorrhage	Brain Hemorrhage, Traumatic	C0553692	0.000168079616661	APOA1,F7,ITGA2	
ponatinib	DB08901	Hemorrhage	Gastrointestinal hemorrhage	C0017181	0.00018527495834	CYP2C8,PTPN22,KIT,JAK2,VWF,FGB,HLA-DRB1,B2M,PDGFRA,KRAS,ITGB3,FGA,PIK3CA,TEK,FGG,CYP2D6,ITGA2B,HLA-DPB1	
ponatinib	DB08901	Hypertension	Primary pulmonary hypertension	C0152171	0.000104930134458	EFNA1,ROCK1,JAK2,PTK2B,F2R,PDGFA,MAPK1,HLA-DRB1,HGF,FGF2,PTPN11,PECAM1,EPHB2,TEK,ROCK2,CD47,MAPK3,EGF,HSP90AA1,ANGPT1,SRC	
ponatinib	DB08901	Hemorrhage	Internal hemorrhage	C0333285	0.000144064155807	PTPN22,FN1,KIT,JAK2,RET,VWF,FGB,B2M,PDGFRA,KRAS,ITGB3,FGA,PIK3CA,TEK,FGG,ITGA2B,HLA-DPB1	
ponatinib	DB08901	Hypertension	Pulmonary arterial hypertension	C3203102	0.000122450182955	EFNA1,ROCK1,JAK2,PTK2B,F2R,PDGFA,MAPK1,STAT1,HLA-DRB1,HGF,FGF2,PTPN11,PECAM1,EPHB2,TEK,ROCK2,FGFR3,CD47,MAPK3,EGF,HSP90AA1,ANGPT1,SRC	
ponatinib	DB08901	Pancreatitis	Pancreatitis	C0030305	0.000127393835275	PSPN,HLA-DQA2,PTPN22,HRAS,HLA-E,PDGFA,FGB,HLA-DRB1,HGF,KRAS,FGA,HLA-DQB1,HLA-DQA1,CD4,MET,FGG,HLA-DPB1,PDGFB	
ponatinib	DB08901	Thrombocytopenia	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	C0040034	0.000174211203778	BCR,PDGFRB,PTPN22,JAK2,VWF,NRAS,STAT1,BTK,HLA-DRB1,ITGB3,PTPN11,PECAM1,ITGA2B,PDGFB,ABL1,HLA-DRB3,SRC	
propranolol	DB00571	Hypertension	Hypertension	C0020538	5.34842432312e-05	BDKRB1,CALCA,MGST3,CCR5,APLN,ABCB1,CASR,ACKR3,AVP,ADORA1,BDKRB2,CNR1,AGTR2,SST,DRD3,PTGER4,POMC,ANXA1,CXCL8,PTH,ADRB1,IAPP,LRP2,CYP3A5,SCARB2,LPAR1,ADRA2B,M6PR,CYP2C19,PDYN,ADRB2,CCR2,CYP3A4,CXCL13,HTR1B,OPRD1,RAMP2,DNM2,GNAS,LDLR,APP,CYP2D6,RAMP1,LDLRAP1,ADM,MC3R,ADRA2C,MC2R,SLC22A2,SUCNR1,SSTR4,CCR6,EGF,PPBP,ADORA2B,HRH3,CXCR6,FPR1,NPY2R,GNAI2,EGFR,SAA1,KNG1,HTR4,CYP1A2,PYY,GCGR,GPER1,LHB,HGS,LPAR2,ADRA2A,CRHR1,CCL28,NPY,FSHR,ADRB3,GCG,APOB,NPY1R,GAL,GPR83,GABBR1,CCL21,CYP1A1,CXCL2,APLNR,AVPR2,AGT,CALCRL	
propranolol	DB00571	Hypertension	Essential hypertension	C0085580	7.44479495268e-05	BDKRB1,CALCA,ABCB1,ADORA1,BDKRB2,AGTR2,POMC,VIP,PTH,ADRB1,CYP3A5,LPAR1,ADRA2B,ADRB2,DNM2,GNAS,LDLR,CYP2D6,ADM,GNAI2,KNG1,GCGR,LPAR2,NPY,FSHR,ADRB3,APOB,APLNR,AGT,CALCRL	
propranolol	DB00571	Myocardial infarction	Myocardial Infarction	C0027051	6.6723633724e-05	BDKRB1,CCR5,P2RY12,PTGER2,ABCB1,CASR,ADORA1,CCR1,BDKRB2,CCL5,CNR1,AGTR2,CXCL8,ADRB1,CYP3A5,RLN2,CXCL10,ADRA2B,OPRK1,CYP2C19,ADRB2,CCR2,CYP3A4,VAMP8,CXCR5,OPRD1,CXCL12,GHRH,LDLR,CYP2D6,RAMP1,LDLRAP1,ADM,CXCL6,TAS2R50,CCR3,ADORA3,KNG1,CYP1A2,DAB2,GRM8,C3,NPY,CHRM2,ADRB3,GCG,TF,APOB,P2RY11,IGF2R,CYP1A1,AGT	
propranolol	DB00571	Hypertension	genetic hypertension	C0598428	7.48447204969e-05	ACKR3,PTH,ADRA2B,SSTR4,PTHLH,CXCR6,LPAR2,AGT	
propranolol	DB00571	Pancreatitis	Hereditary pancreatitis	C0238339	7.19799305288e-05	ABCB1,CASR,CXCL5,CXCL8,CXCR1,CCL20,CXCL10,ADRB2,SYT1,CXCL12,CXCL1,ADM,CXCR2,CXCL6,CCR6,EGF,PTHLH,GNAI2,EGFR,MGST1,GIP,CXCR3,CCL28,GCG,ADCYAP1,CXCR4,SCT	
propranolol	DB00571	Hypertension	Renovascular hypertension	C0020545	0.000105129209084	AGTR2,ADRB1,CXCL10,PTGER3,ADM,SUCNR1,CXCR3,AGT	
propranolol	DB00571	Myocardial infarction	Acute myocardial infarction	C0155626	0.000135621834553	P2RY12,ABCB1,CXCL8,ADRB1,ADRA2B,CYP2C19,CXCL12,CYP2D6,ADM,CHRM2,GCG,CXCR4,PIK3C2A,APOB,P2RY11,CCL21,AGT	
propranolol	DB00571	Pancreatitis	Pancreatitis	C0030305	0.000140079656188	CNR2,CALCA,PPY,CASR,CCR1,BDKRB2,CCL5,CNR1,SST,CXCL8,CD4,AP2S1,PTHLH,TF,CYP1A1,SCT	
dicyclomine	DB00804	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000134233853947	EDN1,HTR2B,CYSLTR1,TACR2,HTR1B,CXCL8,TACR1,AGT,NPS,EGF,F2,CXCR2,NPY,CCR7,CXCR1,EDNRA,F2RL1,APLNR,UTS2,EDNRB,BDKRB2,CCL5,TAC1,DNM2,CASR,UTS2B	
dicyclomine	DB00804	Hypertension	genetic hypertension	C0598428	6.66486875682e-05	EDN1,ACKR3,AGT,CYSLTR2,LPAR2,ADRA2B,CXCR6,EDNRA,ADRA1A,SSTR4	
dicyclomine	DB00804	Hypertension	Essential hypertension	C0085580	8.60107095047e-05	EDN1,P2RY2,AGT,LPAR2,ADRB2,ADRA2B,ADRA1B,LPAR1,ADORA1,ADRA1D,NPY,LDLR,EDNRA,ADRA1A,APLNR,KNG1,UTS2,BDKRB2,POMC,GCGR,APOB,BDKRB1,DNM2,EDN2,PTGFR,AGTR2,TRHR,AVPR1A,GNAI2	
dicyclomine	DB00804	Hypertension	Primary pulmonary hypertension	C0152171	8.65747212857e-05	EDN1,HTR2B,HTR1B,NPS,EGF,F2R,CXCR4,CCR1,CCR7,EDNRA,F2RL1,APLNR,KNG1,EDNRB,BDKRB2,CCL5,CXCL12,BDKRB1,CCR5	
dicyclomine	DB00804	Hypertension	Pulmonary arterial hypertension	C3203102	0.000105297367566	EDN1,HTR2B,HTR1B,NPS,EGF,F2R,CXCR4,CCR1,CCR7,SCARB2,EDNRA,F2RL1,APLNR,KNG1,EDNRB,BDKRB2,CCR6,CCL5,CXCL12,BDKRB1,CCR5	
dicyclomine	DB00804	Hypertension	Portal hypertension, noncirrhotic	C0020541	0.000201575837163	EDN1,AGT,ADRB2,AVP,EDNRA,EDNRB,BDKRB2,UTS2B,CCR5	
dicyclomine	DB00804	Edema	Pulmonary edema	C0034063	0.000269910831583	FPR1,CXCL8,F2R,ADRB2,CXCL2,CCR5	
leuprolide	DB00007	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000161900369004	UTS2,CYSLTR1,EDNRB,TACR2,HTR2B,AGT,BDKRB2,EDNRA,F2RL1,EDN1,F2,TAC1,UTS2B,NPS,CASR,TACR1	
leuprolide	DB00007	Hypertension	Essential hypertension	C0085580	7.35272006863e-05	ADRA1A,ADRA1B,LPAR2,UTS2,BDKRB1,ADRA1D,AVPR1A,LPAR1,PTGFR,AGT,BDKRB2,EDNRA,EDN1,TRHR,EDN2,KNG1,P2RY2,GCGR	
leuprolide	DB00007	Hypertension	genetic hypertension	C0598428	7.3748308525e-05	ADRA1A,LPAR2,AGT,EDNRA,EDN1,CYSLTR2	
leuprolide	DB00007	Hypertension	Hypertension	C0020538	0.000166153846154	OXTR,GHRL,KISS1,UTS2R,ADRA1A,GHSR,ADRA1B,LPAR2,TACR3,UTS2,PTGER1,BDKRB1,APP,ADRA1D,AVPR1A,EDNRB,GNRH1,LPAR1,XCL1,HTR2B,AGT,TRH,BDKRB2,EDNRA,EDN1,EDN3,TRHR,GCG,EDN2,F2,SAA1,KNG1,P2RY2,CYSLTR2,NTS,F2R,CASR,GCGR,TACR1,GNA14,CHRM3,OXT,TAC3	
leuprolide	DB00007	Myocardial infarction	Myocardial Infarction	C0027051	0.000159843546284	GHRL,UTS2R,GHSR,UTS2,BDKRB1,ADRA1D,AVPR1A,EDNRB,AGT,BDKRB2,EDNRA,F2RL1,EDN1,GCG,EDN2,F2,KNG1,P2RY2,F2R,P2RY11,CASR	
leuprolide	DB00007	Hypertension	Primary pulmonary hypertension	C0152171	9.28362573099e-05	BDKRB1,EDNRB,HTR2B,BDKRB2,EDNRA,F2RL1,EDN1,KNG1,F2R,NPS	
leuprolide	DB00007	Hypertension	Pulmonary arterial hypertension	C3203102	0.00015	BDKRB1,EDNRB,HTR2B,BDKRB2,EDNRA,F2RL1,EDN1,KNG1,F2R,NPS	
leuprolide	DB00007	Hypertension	Portal hypertension, noncirrhotic	C0020541	0.000158477008471	EDNRB,AGT,BDKRB2,EDNRA,EDN1,UTS2B	
leuprolide	DB00007	Hypertension	Ocular Hypertension	C0028840	0.000222222222222	GHSR,EDNRB,PTGFR	
leuprolide	DB00007	Hemorrhage	Internal hemorrhage	C0333285	0.000266447368421	GNAQ,APP,F2,CYSLTR2,GNA11	
bisoprolol	DB00612	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000114237855946	LDLRAP1,GCG,APOB,PTH,ADRB2,LDLR,ADM,CYP3A4,LRP2,CYP2D6,ADRB1,ADRB3,FSHR	
